id,Fecha de creación,Marca,Modelo,Descripción,CVSS_31,CVSS_4
CVE-2025-64446,2025-11-14 16:15:58.567,fortinet,fortiweb,cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*,CRITICAL,
CVE-2025-20363,2025-09-25 16:15:32.497,cisco,adaptive_security_appliance_software,cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*,CRITICAL,
CVE-2025-20333,2025-09-25 16:15:32.073,cisco,adaptive_security_appliance_software,cpe:2.3:o:cisco:adaptive_security_appliance_software:*:*:*:*:*:*:*:*,CRITICAL,
CVE-2025-20354,2025-11-05 17:15:37.743,cisco,unified_contact_center_express,cpe:2.3:a:cisco:unified_contact_center_express:*:*:*:*:*:*:*:*,CRITICAL,
CVE-2025-20358,2025-11-05 17:15:38.120,cisco,unified_contact_center_express,cpe:2.3:a:cisco:unified_contact_center_express:*:*:*:*:*:*:*:*,CRITICAL,
CVE-2025-46774,2025-10-14 16:15:38.500,fortinet,forticlient,cpe:2.3:a:fortinet:forticlient:*:*:*:*:*:macos:*:*,HIGH,
CVE-2025-20343,2025-11-05 17:15:37.443,cisco,identity_services_engine,cpe:2.3:a:cisco:identity_services_engine:3.4.0:-:*:*:*:*:*:*,HIGH,
CVE-2024-33507,2025-10-14 16:15:34.980,fortinet,fortiisolator,cpe:2.3:a:fortinet:fortiisolator:*:*:*:*:*:*:*:*,HIGH,
CVE-2024-48891,2025-10-14 16:15:35.503,fortinet,fortisoar,cpe:2.3:a:fortinet:fortisoar:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-20352,2025-09-24 18:15:36.930,cisco,ios_xe_sd-wan,cpe:2.3:o:cisco:ios_xe_sd-wan:16.9.1:*:*:*:*:*:*:*,HIGH,
CVE-2025-58692,2025-11-18 17:16:06.963,fortinet,fortivoice,cpe:2.3:a:fortinet:fortivoice:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-58413,2025-11-18 17:16:06.557,fortinet,fortios,cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-58034,2025-11-18 17:16:05.057,fortinet,fortiweb,cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-25253,2025-10-14 16:15:36.850,fortinet,fortiproxy,cpe:2.3:a:fortinet:fortiproxy:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-53843,2025-11-18 17:16:03.033,fortinet,fortios,cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-46373,2025-11-18 17:16:01.753,fortinet,forticlient,cpe:2.3:a:fortinet:forticlient:*:*:*:*:*:windows:*:*,HIGH,
CVE-2024-50571,2025-10-14 16:15:35.673,fortinet,fortianalyzer,cpe:2.3:a:fortinet:fortianalyzer:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-54658,2025-10-16 14:15:36.487,fortinet,fortidlp_agent,cpe:2.3:a:fortinet:fortidlp_agent:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-58325,2025-10-14 16:15:40.767,fortinet,fortios,cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-57741,2025-10-14 16:15:40.457,fortinet,forticlient,cpe:2.3:a:fortinet:forticlient:*:*:*:*:*:macos:*:*,HIGH,
CVE-2025-57740,2025-10-14 16:15:40.293,fortinet,fortiproxy,cpe:2.3:a:fortinet:fortiproxy:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-49201,2025-10-14 16:15:38.840,fortinet,fortipam,cpe:2.3:o:fortinet:fortipam:*:*:*:*:*:*:*:*,HIGH,
CVE-2025-47761,2025-11-18 17:16:02.413,fortinet,forticlient,cpe:2.3:a:fortinet:forticlient:*:*:*:*:*:windows:*:*,HIGH,
CVE-2025-47856,2025-10-14 14:15:49.927,fortinet,fortivoice,cpe:2.3:a:fortinet:fortivoice:*:*:*:*:*:*:*:*,HIGH,
